[2025-08-30 06:21:27,264: INFO: main: Welcome to our custom log]
[2025-08-30 08:02:37,762: INFO: main: Welcome to our custom log]
[2025-08-30 08:19:23,042: INFO: main: Welcome to our custom log]
[2025-08-31 14:07:36,930: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-31 16:06:27,726: INFO: main: Welcome to our custom log]
[2025-08-31 16:10:15,989: INFO: main: Welcome to our custom log]
[2025-08-31 16:16:10,347: INFO: main: Welcome to our custom log]
[2025-08-31 16:29:55,459: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-31 16:29:55,462: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-31 16:29:55,463: INFO: common: created directory at: artifacts]
[2025-08-31 16:29:55,465: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-31 16:29:55,466: INFO: 3390099456: Downloading data from https://drive.google.com/file/d/18OkRLS8T1gLfFAilJJF0alWBYx6NysEA/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-08-31 16:47:13,250: INFO: 3390099456: Downloaded data from https://drive.google.com/file/d/18OkRLS8T1gLfFAilJJF0alWBYx6NysEA/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-09-02 01:28:53,898: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-09-02 01:28:53,911: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-02 01:28:53,913: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-02 01:28:53,913: INFO: common: created directory at: artifacts]
[2025-09-02 01:28:53,913: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-02 01:28:53,913: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/18OkRLS8T1gLfFAilJJF0alWBYx6NysEA/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-09-02 01:31:04,536: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/18OkRLS8T1gLfFAilJJF0alWBYx6NysEA/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-09-02 01:31:05,911: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-09-06 08:33:15,481: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-06 08:33:15,497: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-06 08:33:15,500: INFO: common: created directory at: artifacts]
[2025-09-06 08:33:15,502: INFO: common: created directory at: artifacts/prepare_base_model]
